sample,PC1,PC2,PC3
bTe1,-31.4534045435624,-160.626661959301,10.2426003304401
bTe2,-9.32440754725288,-181.058717813969,13.7886983885638
bTe3,-22.8512750816893,-168.655168798508,9.9695636614561
bOv1,59.7935318197938,-147.887643997376,30.8070320720662
bOv2,74.7006255717812,-163.3207731976,29.6578288733601
bOv3,72.9336491138579,-156.208984003811,29.7628555084715
Egg,504.314098335396,100.851235355056,-193.872808522173
Mir,162.493425095799,18.1563057817875,66.2931572761216
Sp2,182.240261217124,-2.99548220961154,65.7061740178395
Cer1,47.2772647390108,90.8862828015671,124.71081637565
Cer2,24.2439528899625,93.655144770044,122.798827981993
Cer3,26.4961459094444,91.235765693521,122.724492351484
Som1,2.02890665100833,99.4727585054641,115.009144583415
Som2,-10.0720294153155,120.215826787476,101.845268460025
sMa1,-95.1079209608572,47.0078305162682,-56.1307852568672
sMa2,-93.159269730872,47.4495123476252,-55.3437764785554
sMa3,-96.9347789209929,47.8468107909285,-52.8688598793315
sFe1,-104.030018904092,44.2399592716038,-54.7695268802684
sFe2,-103.570363676098,42.1981839579949,-53.9104602225126
sFe3,-108.046102402601,40.8896548836201,-52.7492323360667
bMa1,-107.39369806468,49.9368487648856,-44.0158667513856
bMa2,-108.061696343933,49.1995114687763,-54.2785670417624
bMa3,-98.8700178365854,46.0789878969446,-55.0044170161571
bFe1,-63.8010919391449,-19.6338437793651,-56.2152230170007
bFe2,-52.1183535275135,-16.1277543263348,-56.7048454794012
bFe3,-51.7274324479865,-12.8055895076873,-57.452090999403
